"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Botaki.class", "Java", 33, 0, 0, 0, 33
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Botaki.java", "Java", 51, 0, 2, 28, 81
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDealer.class", "Java", 54, 0, 0, 0, 54
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDealer.java", "Java", 94, 0, 7, 29, 130
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDeck.class", "Java", 38, 0, 0, 0, 38
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDeck.java", "Java", 74, 0, 2, 34, 110
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardGroup.class", "Java", 30, 0, 0, 0, 30
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardGroup.java", "Java", 54, 0, 1, 16, 71
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Node.class", "Java", 47, 0, 15, 0, 62
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Node.java", "Java", 99, 0, 14, 29, 142
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Player.class", "Java", 10, 0, 0, 0, 10
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Player.java", "Java", 12, 0, 1, 6, 19
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Table.class", "Java", 37, 0, 0, 0, 37
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Table.java", "Java", 41, 0, 2, 20, 63
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\ask2.drawio.svg", "XML", 0, 283, 0, 0, 283
"Total", "-", 674, 283, 44, 162, 1163
